"","ID","EntrezGeneID","ORF","GB_ACC","PROBE_DERIVED_FROM_TRANSCRIPT","SPOT_ID","RosettaGeneModelID"
"3435","10025916428","440035","","XM_498514","non-public","","HSG00271578"
"3436","10023850393","84676","TRIM63","NM_032588","NM_032588","","HSG00204384"
"3437","10023810617","55234","SMU1","AK001732","AK001732","","HSG00262722"
"3438","10025923348","","","XM_167887","XM_167887","","HSG00282983"
"3439","10025920780","","","AL117520","AL117520","","HSG00364763"
"3440","10023823349","28517","TRDV2","X73617","X73617","","HSG00355964"
"3441","10023805516","10060","ABCC9","NM_020298","NM_020298","","HSG00277035"
"3442","10023814040","","","AF131784","AF131784","","HSG00304494"
"3443","10025925729","","","XM_121050","XM_121050","","HSG00361682"
"3444","10025904794","24146","CLDN15","NM_138429","NM_138429","","HSG00251415"
"3445","10025931362","50652","PCA3","AF103907","AF103907","","HSG00261683"
"3446","10031920723","165057","","","non-public","ENSEMBLE: ENST00000295844","HSG00214865"
"3447","10025909175","55145","THAP1","NM_018105","NM_018105","","HSG00258062"
"3448","10023815038","29925","GMPPB","NM_013334","NM_013334","","HSG00222131"
"3449","10025908076","79862","ZNF669","NM_024804","NM_024804","","HSG00203680"
"3450","10031920059","341720","","XM_292184","non-public","","HSG00282740"
"3451","10023815386","157503","","AK055509","non-public","","HSG00259857"
"3452","10025903065","7334","UBE2N","NM_003348","NM_003348","","HSG00282030"
"3453","10025915649","","","XM_061628","XM_061628","","HSG00273338"
"3454","10023838351","582","BBS1","NM_024649","NM_024649","","HSG00271429"
"3455","10025930199","","","BC007784","BC007784","","HSG00234066"
"3456","10023819206","8852","AKAP4","NM_003886","NM_003886","","HSG00254049"
"3457","10025909300","5369","PMCHL1","NM_031887","NM_031887","","HSG00236634"
"3458","10025903432","345275","HSD17B13","NM_178135","NM_178135","","HSG00228597"
"3459","10023830361","1778","DYNC1H1","NM_001376","non-public","","HSG00287164"
"3460","10025906715","55212","BBS7","NM_018190","NM_018190","","HSG00227778"
"3461","10025917474","","","AW206570","non-public","","HSG00238834"
"3462","10025929931","","","BC035182","BC035182","","HSG00240505"
"3463","10025906806","55363","HEMGN","NM_018437","NM_018437","","HSG00262315"
"3464","10025931599","285590","SH3PXD2B","BC038561","BC038561","","HSG00238192"
"3465","10025909714","5373","PMM2","NM_000303","NM_000303","","HSG00295570"
"3466","10031920819","338645","LUZP2","","non-public","ENSEMBLE: ENST00000336930","HSG00275110"
"3467","10025903818","11216","AKAP10","NM_007202","NM_007202","","HSG00302762"
"3468","10025908300","2044","EPHA5","NM_182472","NM_182472","","HSG00228100"
"3469","10033668859","5950","RBP4","NM_006744","NM_006744","","HSG00269116"
